filename,location_str,lat_lower,lat_upper,lon_lower,lon_upper
ESA_WorldCover_10m_2021_v200_N00E006_Map.tif,N00E006,0,3,6,9
ESA_WorldCover_10m_2021_v200_N00E009_Map.tif,N00E009,0,3,9,12
ESA_WorldCover_10m_2021_v200_N00E012_Map.tif,N00E012,0,3,12,15
ESA_WorldCover_10m_2021_v200_N00E015_Map.tif,N00E015,0,3,15,18
ESA_WorldCover_10m_2021_v200_N00E018_Map.tif,N00E018,0,3,18,21
ESA_WorldCover_10m_2021_v200_N00E021_Map.tif,N00E021,0,3,21,24
ESA_WorldCover_10m_2021_v200_N00E024_Map.tif,N00E024,0,3,24,27
ESA_WorldCover_10m_2021_v200_N00E027_Map.tif,N00E027,0,3,27,30
ESA_WorldCover_10m_2021_v200_N00E030_Map.tif,N00E030,0,3,30,33
ESA_WorldCover_10m_2021_v200_N00E033_Map.tif,N00E033,0,3,33,36
ESA_WorldCover_10m_2021_v200_N00E036_Map.tif,N00E036,0,3,36,39
ESA_WorldCover_10m_2021_v200_N00E039_Map.tif,N00E039,0,3,39,42
ESA_WorldCover_10m_2021_v200_N00E042_Map.tif,N00E042,0,3,42,45
ESA_WorldCover_10m_2021_v200_N00E045_Map.tif,N00E045,0,3,45,48
ESA_WorldCover_10m_2021_v200_N00E072_Map.tif,N00E072,0,3,72,75
ESA_WorldCover_10m_2021_v200_N00E093_Map.tif,N00E093,0,3,93,96
ESA_WorldCover_10m_2021_v200_N00E096_Map.tif,N00E096,0,3,96,99
ESA_WorldCover_10m_2021_v200_N00E099_Map.tif,N00E099,0,3,99,102
ESA_WorldCover_10m_2021_v200_N00E102_Map.tif,N00E102,0,3,102,105
ESA_WorldCover_10m_2021_v200_N00E105_Map.tif,N00E105,0,3,105,108
ESA_WorldCover_10m_2021_v200_N00E108_Map.tif,N00E108,0,3,108,111
ESA_WorldCover_10m_2021_v200_N00E111_Map.tif,N00E111,0,3,111,114
ESA_WorldCover_10m_2021_v200_N00E114_Map.tif,N00E114,0,3,114,117
ESA_WorldCover_10m_2021_v200_N00E117_Map.tif,N00E117,0,3,117,120
ESA_WorldCover_10m_2021_v200_N00E120_Map.tif,N00E120,0,3,120,123
ESA_WorldCover_10m_2021_v200_N00E123_Map.tif,N00E123,0,3,123,126
ESA_WorldCover_10m_2021_v200_N00E126_Map.tif,N00E126,0,3,126,129
ESA_WorldCover_10m_2021_v200_N00E129_Map.tif,N00E129,0,3,129,132
ESA_WorldCover_10m_2021_v200_N00E132_Map.tif,N00E132,0,3,132,135
ESA_WorldCover_10m_2021_v200_N00E171_Map.tif,N00E171,0,3,171,174
ESA_WorldCover_10m_2021_v200_N00W051_Map.tif,N00W051,0,3,-51,-48
ESA_WorldCover_10m_2021_v200_N00W054_Map.tif,N00W054,0,3,-54,-51
ESA_WorldCover_10m_2021_v200_N00W057_Map.tif,N00W057,0,3,-57,-54
ESA_WorldCover_10m_2021_v200_N00W060_Map.tif,N00W060,0,3,-60,-57
ESA_WorldCover_10m_2021_v200_N00W063_Map.tif,N00W063,0,3,-63,-60
ESA_WorldCover_10m_2021_v200_N00W066_Map.tif,N00W066,0,3,-66,-63
ESA_WorldCover_10m_2021_v200_N00W069_Map.tif,N00W069,0,3,-69,-66
ESA_WorldCover_10m_2021_v200_N00W072_Map.tif,N00W072,0,3,-72,-69
ESA_WorldCover_10m_2021_v200_N00W075_Map.tif,N00W075,0,3,-75,-72
ESA_WorldCover_10m_2021_v200_N00W078_Map.tif,N00W078,0,3,-78,-75
ESA_WorldCover_10m_2021_v200_N00W081_Map.tif,N00W081,0,3,-81,-78
ESA_WorldCover_10m_2021_v200_N00W090_Map.tif,N00W090,0,3,-90,-87
ESA_WorldCover_10m_2021_v200_N00W093_Map.tif,N00W093,0,3,-93,-90
ESA_WorldCover_10m_2021_v200_N00W159_Map.tif,N00W159,0,3,-159,-156
ESA_WorldCover_10m_2021_v200_N03E000_Map.tif,N03E000,3,6,0,3
ESA_WorldCover_10m_2021_v200_N03E003_Map.tif,N03E003,3,6,3,6
ESA_WorldCover_10m_2021_v200_N03E006_Map.tif,N03E006,3,6,6,9
ESA_WorldCover_10m_2021_v200_N03E009_Map.tif,N03E009,3,6,9,12
ESA_WorldCover_10m_2021_v200_N03E012_Map.tif,N03E012,3,6,12,15
ESA_WorldCover_10m_2021_v200_N03E015_Map.tif,N03E015,3,6,15,18
ESA_WorldCover_10m_2021_v200_N03E018_Map.tif,N03E018,3,6,18,21
ESA_WorldCover_10m_2021_v200_N03E021_Map.tif,N03E021,3,6,21,24
ESA_WorldCover_10m_2021_v200_N03E024_Map.tif,N03E024,3,6,24,27
ESA_WorldCover_10m_2021_v200_N03E027_Map.tif,N03E027,3,6,27,30
ESA_WorldCover_10m_2021_v200_N03E030_Map.tif,N03E030,3,6,30,33
ESA_WorldCover_10m_2021_v200_N03E033_Map.tif,N03E033,3,6,33,36
ESA_WorldCover_10m_2021_v200_N03E036_Map.tif,N03E036,3,6,36,39
ESA_WorldCover_10m_2021_v200_N03E039_Map.tif,N03E039,3,6,39,42
ESA_WorldCover_10m_2021_v200_N03E042_Map.tif,N03E042,3,6,42,45
ESA_WorldCover_10m_2021_v200_N03E045_Map.tif,N03E045,3,6,45,48
ESA_WorldCover_10m_2021_v200_N03E048_Map.tif,N03E048,3,6,48,51
ESA_WorldCover_10m_2021_v200_N03E072_Map.tif,N03E072,3,6,72,75
ESA_WorldCover_10m_2021_v200_N03E078_Map.tif,N03E078,3,6,78,81
ESA_WorldCover_10m_2021_v200_N03E093_Map.tif,N03E093,3,6,93,96
ESA_WorldCover_10m_2021_v200_N03E096_Map.tif,N03E096,3,6,96,99
ESA_WorldCover_10m_2021_v200_N03E099_Map.tif,N03E099,3,6,99,102
ESA_WorldCover_10m_2021_v200_N03E102_Map.tif,N03E102,3,6,102,105
ESA_WorldCover_10m_2021_v200_N03E105_Map.tif,N03E105,3,6,105,108
ESA_WorldCover_10m_2021_v200_N03E108_Map.tif,N03E108,3,6,108,111
ESA_WorldCover_10m_2021_v200_N03E111_Map.tif,N03E111,3,6,111,114
ESA_WorldCover_10m_2021_v200_N03E114_Map.tif,N03E114,3,6,114,117
ESA_WorldCover_10m_2021_v200_N03E117_Map.tif,N03E117,3,6,117,120
ESA_WorldCover_10m_2021_v200_N03E120_Map.tif,N03E120,3,6,120,123
ESA_WorldCover_10m_2021_v200_N03E123_Map.tif,N03E123,3,6,123,126
ESA_WorldCover_10m_2021_v200_N03E126_Map.tif,N03E126,3,6,126,129
ESA_WorldCover_10m_2021_v200_N03E156_Map.tif,N03E156,3,6,156,159
ESA_WorldCover_10m_2021_v200_N03E162_Map.tif,N03E162,3,6,162,165
ESA_WorldCover_10m_2021_v200_N03E168_Map.tif,N03E168,3,6,168,171
ESA_WorldCover_10m_2021_v200_N03E171_Map.tif,N03E171,3,6,171,174
ESA_WorldCover_10m_2021_v200_N03W003_Map.tif,N03W003,3,6,-3,0
ESA_WorldCover_10m_2021_v200_N03W006_Map.tif,N03W006,3,6,-6,-3
ESA_WorldCover_10m_2021_v200_N03W009_Map.tif,N03W009,3,6,-9,-6
ESA_WorldCover_10m_2021_v200_N03W012_Map.tif,N03W012,3,6,-12,-9
ESA_WorldCover_10m_2021_v200_N03W051_Map.tif,N03W051,3,6,-51,-48
ESA_WorldCover_10m_2021_v200_N03W054_Map.tif,N03W054,3,6,-54,-51
ESA_WorldCover_10m_2021_v200_N03W057_Map.tif,N03W057,3,6,-57,-54
ESA_WorldCover_10m_2021_v200_N03W060_Map.tif,N03W060,3,6,-60,-57
ESA_WorldCover_10m_2021_v200_N03W063_Map.tif,N03W063,3,6,-63,-60
ESA_WorldCover_10m_2021_v200_N03W066_Map.tif,N03W066,3,6,-66,-63
ESA_WorldCover_10m_2021_v200_N03W069_Map.tif,N03W069,3,6,-69,-66
ESA_WorldCover_10m_2021_v200_N03W072_Map.tif,N03W072,3,6,-72,-69
ESA_WorldCover_10m_2021_v200_N03W075_Map.tif,N03W075,3,6,-75,-72
ESA_WorldCover_10m_2021_v200_N03W078_Map.tif,N03W078,3,6,-78,-75
ESA_WorldCover_10m_2021_v200_N03W081_Map.tif,N03W081,3,6,-81,-78
ESA_WorldCover_10m_2021_v200_N03W165_Map.tif,N03W165,3,6,-165,-162
ESA_WorldCover_10m_2021_v200_N06E000_Map.tif,N06E000,6,9,0,3
ESA_WorldCover_10m_2021_v200_N06E003_Map.tif,N06E003,6,9,3,6
ESA_WorldCover_10m_2021_v200_N06E006_Map.tif,N06E006,6,9,6,9
ESA_WorldCover_10m_2021_v200_N06E009_Map.tif,N06E009,6,9,9,12
ESA_WorldCover_10m_2021_v200_N06E012_Map.tif,N06E012,6,9,12,15
ESA_WorldCover_10m_2021_v200_N06E015_Map.tif,N06E015,6,9,15,18
ESA_WorldCover_10m_2021_v200_N06E018_Map.tif,N06E018,6,9,18,21
ESA_WorldCover_10m_2021_v200_N06E021_Map.tif,N06E021,6,9,21,24
ESA_WorldCover_10m_2021_v200_N06E024_Map.tif,N06E024,6,9,24,27
ESA_WorldCover_10m_2021_v200_N06E027_Map.tif,N06E027,6,9,27,30
ESA_WorldCover_10m_2021_v200_N06E030_Map.tif,N06E030,6,9,30,33
